ACCOUNT #,METER CAPACITY
01006N088500,4
01006N089500,4
01006N090600,4
01006N091000,4
01006N091500,4
01006N091800,5
01006N092500,4
01006N093500,4
01006N094000,4
01006N095000,4
01006N096000,4
01006N096500,4
01006N097500,4
01006N099000,4
01006N100000,4
01006N100500,4
01006N101000,4
01006N101500,4
01006N102000,4
01006N103000,4
01006N104000,4
01006N104500,4
01006N105000,4
01006N105500,4
01006N106000,4
01006N107000,4
01006N107500,4
01006N108000,4
01006N108500,4
01006N109000,4
01006N109500,4
01006N110000,4
01006N110500,4
01006N112000,4
01006N112500,4
01006N113000,4
01006N113500,4
01006N116000,4
01006N116500,4
01006N117000,4
01006N117500,4
01006N118000,4
01006N119000,4
01007N000500,4
01007N001000,4
01007N001500,4
01007N002000,4
01007N002500,4
01007N003500,4
01007N004000,4
01007N004500,4
01007N005000,4
01007N005500,4
01007N006000,4
01007N006500,4
01007N007000,4
01007N007500,4
01007N008000,4
01007N009000,4
01007N009500,4
01007N010000,4
01007N011100,4
01007N013500,4
01007N014000,4
01007N015000,4
01007N015500,4
01007N016000,4
01007N016500,4
01007N017000,4
01007N017500,4
01007N018000,4
01007N019000,4
01007N020500,4
01007N022500,4
01007N023000,4
01007N023500,4
01007N024000,4
01007N024500,4
01007N027000,4
01007N027500,4
01007N028000,4
01007N028500,4
01007N029000,4
01007N029500,4
01007N030500,4
01007N031000,4
01007N031500,4
01007N032000,4
01007N035500,4
01007N038000,4
01007N038500,4
01007N039000,4
01007N040000,4
01007N040500,4
01007N041000,4
01007N042000,4
01007N042500,4
01007N043500,4
01007N044000,4
01007N044500,4
01007N045500,4
01007N046000,4
01007N047000,4
01007N047500,4
01007N048000,4
01007N049000,4
01007N049500,4
01007N050000,4
01007N050500,4
01007N051000,4
01007N051500,4
01007N052000,4
01007N052500,4
01007N053000,4
01007N053500,4
01007N054000,4
01007N054500,4
01007N055000,4
01007N055500,4
01007N056000,4
01007N056500,4
01007N057500,4
01007N058000,4
01007N058500,4
01007N059500,4
01007N060500,4
01007N061500,4
01007N062000,4
01007N062500,4
01007N063000,4
01007N063500,4
01007N064000,4
01007N065000,5
01007N066000,4
01007N066300,4
01007N066400,5
01007N066500,5
01007N067000,4
01007N068000,4
01007N068500,4
01007N069000,4
01007N069500,4
01008N000500,4
01008N001000,4
01008N001500,4
01008N002000,4
01008N002500,4
01008N003000,4
01008N003500,4
01008N004000,4
01008N004500,4
01008N005000,4
01008N006000,4
01008N007000,4
01008N008000,4
01008N009000,4
01008N009200,4
01008N009500,4
01008N010000,4
01008N015500,4
01008N016000,4
01008N017000,4
01008N023500,4
01008N023700,4
01008N024000,4
01008N025000,4
01008N025500,4
01008N026000,4
01008N026500,4
01008N027000,4
01008N027500,4
01008N028000,4
01008N028500,4
01008N029000,4
01008N032000,4
01008N032500,4
01008N033000,4
01008N035500,4
01008N036000,4
01008N037000,4
01008N037500,4
01008N038000,4
01008N038500,4
01008N039000,4
01008N039500,4
01008N040000,4
01008N040500,4
01008N041000,4
01008N041500,4
01008N042000,4
01008N043500,4
01008N044000,4
01008N045000,4
01008N046000,4
01008N046500,4
01008N047000,4
01008N047500,4
01008N048000,4
01008N048500,4
01008N049000,4
01008N049500,4
01008N050000,4
01008N051000,4
01008N054500,4
01008N055500,4
01008N056500,4
01008N057000,4
01008N057500,4
01008N058000,4
01008N058500,4
01008N059000,4
01008N059500,4
01008N060000,4
01008N061000,4
01008N062000,4
01008N062600,5
01008N062500,4
01008N063000,4
01008N064000,4
01008N064500,4
01008N065000,4
01008N065500,4
01008N066000,4
01008N066500,4
01008N067000,4
01008N067500,4
01008N068000,4
01008N068500,4
01008N069000,4
01008N069500,4
01008N070000,4
01008N070500,4
01008N080000,4
01008N081000,4
01008N082000,4
01008N084000,4
01008N086000,4
01009N000500,4
01009N001000,4
01009N001500,4
01009N002000,4
01009N002500,4
01009N003000,4
01009N003500,4
01009N004000,4
01009N004500,4
01009N005000,4
01009N005500,4
01009N006000,4
01009N006500,4
01009N006700,4
01009N007500,4
01009N008500,4
01009N009000,4
01009N009500,4
01009N010000,4
01009N010500,4
01009N011800,4
01009N012000,4
01009N012500,4
01009N013000,4
01009N014000,4
01009N014300,4
01009N014500,4
01009N015500,4
01009N016000,4
01009N016500,4
01009N017000,4
01009N017500,4
01009N018000,4
01009N018500,4
01009N022500,4
01009N023000,4
01009N023500,4
01009N024500,4
01009N026000,4
01009N027000,4
01009N027500,4
01009N028000,4
01009N028500,4
01009N029000,4
01009N029500,4
01009N030000,4
01009N030500,4
01009N031000,4
01009N031500,4
01009N032000,4
01009N032500,4
01009N033000,4
01009N034500,4
01009N035000,4
01009N035500,4
01009N036000,4
01009N037000,4
01009N037500,4
01009N038300,4
01009N038500,4
01009N039000,4
01009N040000,4
01009N041000,4
01009N042500,4
01009N043500,4
01009N044000,4
01009N045500,4
01009N046000,4
01009N046500,4
01009N049500,4
01009N050000,4
01009N050500,4
01009N051000,4
01009N051500,4
01009N052000,4
01009N060000,4
01009N061000,4
01009N061500,4
01009N062500,4
01009N063000,4
01009N064000,4
01009N066000,4
01009N066500,4
01009N067000,4
01009N068000,4
01009N068500,4
01009N069000,4
01009N069500,4
01009N071000,4
01009N072500,4
01009N073000,4
01009N074000,4
01009N074500,4
01009N075000,4
01009N075500,4
01009N076000,4
01009N076500,4
01009N078000,4
01009N078500,4
01009N079000,5
01009N081000,4
01009N084000,5
01009N085000,5
01009N087500,4
01009N088500,4
01009N089000,4
01009N090000,4
01009N090500,4
01009N091500,4
01009N092500,4
01009N093000,4
01009N095000,4
01009N095500,4
01009N096500,4
01009N097000,4
01009N097500,4
01009N098500,4
01009N099000,4
01009N099500,4
01009N100000,4
01009N101500,4
01009N102000,4
01009N102500,4
01009N103000,4
01009N103500,4
01009N104000,4
01009N105000,4
01009N111000,4
01009N110000,4
01009N118000,4
01009N118500,4
01009N119000,4
01009N119500,4
01009N120500,4
01009N121000,4
01009N122000,4
01009N122500,4
01009N123000,4
01009N123500,4
01009N124500,4
01010N000500,4
01010N010000,4
01010N010500,4
01010N011000,4
01010N011500,4
01010N012000,4
01010N012500,4
01010N013000,4
01010N013500,4
01010N014000,4
01010N014500,4
01010N015000,4
01010N016000,4
01010N016500,4
01010N017000,4
01010N017500,4
01010N017300,4
01010N018700,4
01010N019000,4
01010N019500,4
01010N022000,4
01010N022500,4
01010N023000,4
01010N023500,4
01010N025500,4
01010N026000,4
01010N026500,4
01010N027000,4
01010N027500,4
01010N028000,4
01010N028500,4
01010N029000,4
01010N029500,4
01010N030000,4
01010N030500,4
01010N031000,4
01010N031500,4
01010N032000,4
01010N032500,4
01010N040000,4
01010N040500,4
01010N041000,4
01010N041500,4
01010N042000,4
01010N042500,4
01010N043000,4
01010N043500,4
01010N044000,4
01010N044500,4
01010N045000,4
01010N045500,4
01010N046000,4
01010N046500,4
01010N047000,4
01010N047500,4
01010N051000,4
01010N051500,4
01010N052000,4
01010N052500,4
01010N053000,4
01010N055000,4
01010N055500,4
01010N056000,4
01010N056500,4
01010N057000,4
01010N058000,4
01010N058500,4
01010N059000,4
01010N059500,4
01010N060000,4
01010N060500,4
01010N061000,4
01010N062000,4
01010N062500,4
01010N063000,4
01010N063500,4
01010N064000,4
01010N064500,4
01010N065000,4
01010N066500,4
01010N069500,4
01010N070000,4
01010N071000,4
01010N072000,4
01010N072500,4
01010N073500,4
01010N074000,4
01010N075000,4
01010N075500,4
01010N076500,4
01010N077000,4
01010N077500,4
01010N078500,4
01010N079000,4
01010N079300,4
01010N079500,4
01010N079800,4
01010N080000,4
01010N080500,4
01010N081000,4
01010N082000,4
01010N082500,4
01011N001500,4
01011N002000,4
01011N002500,4
01011N003000,4
01011N004000,4
01011N004500,4
01011N005500,4
01011N006000,4
01011N006500,4
01011N007000,4
01011N007500,4
01011N008000,4
01011N008500,4
01011N009000,4
01011N010000,4
01011N010500,4
01011N011000,4
01011N011500,4
01011N012000,4
01011N012500,4
01011N013000,4
01011N013500,4
01011N015000,4
01011N016000,4
01011N016500,4
01011N017000,4
01011N018000,4
01011N020000,4
01011N021000,4
01011N021500,4
01011N022500,4
01011N023000,4
01011N024000,4
01011N025000,4
01011N025500,4
01011N026000,4
01011N026500,4
01011N027000,4
01011N027500,4
01011N028000,4
01011N029000,4
01011N029500,4
01011N030000,4
01011N030500,4
01011N031000,4
01011N031500,4
01011N032000,4
01011N033000,4
01011N034000,4
01011N034500,4
01011N035000,4
01011N037000,4
01011N043000,4
01011N043500,4
01011N044000,4
01011N045500,4
01011N067500,4
01011N068000,4
01011N070000,4
01011N071000,4
01011N071500,4
01011N072500,4
01011N074000,4
01011N074500,4
01011N075000,4
01011N076000,4
01011N076500,4
01011N077000,4
01011N078000,4
01011N078500,4
01011N079000,4
01011N079500,4
01011N081000,4
01011N081500,4
01011N082000,4
01011N082500,4
01011N083000,4
01011N084500,5
01011N085500,4
01011N087500,4
01011N089000,4
01011N091500,5
01011N092500,4
01011N094500,4
01011N095600,5
01011N096000,4
01011N097000,4
01011N099500,4
01011N100500,4
01011N101000,4
01011N101500,4
01011N103000,4
01011N103500,4
01011N104000,4
01011N105000,4
01011N106500,4
01011N107500,4
01011N108000,4
01011N108500,4
01011N109000,4
01011N110100,4
01011N111000,4
01011N111500,4
01011N112000,4
01011N112500,4
01011N113000,4
01011N113500,4
01011N114000,4
01011N115000,4
01012N000500,4
01012N001000,4
01012N001500,4
01012N002000,4
01012N003000,4
01012N003500,4
01012N004500,4
01012N005000,4
01012N005500,4
01012N006000,4
01012N006500,4
01012N007000,4
01012N007500,4
01012N008000,4
01012N008500,4
01012N009000,4
01012N009500,4
01012N010000,4
01012N010500,4
01012N011000,4
01012N011500,4
01012N012500,4
01012N013000,4
01012N013500,4
01012N014500,4
01012N015000,4
01012N016000,4
01012N017000,4
01012N017500,4
01012N018000,4
01012N018500,4
01012N019500,4
01012N020500,4
01012N021000,4
01012N021500,4
01012N022000,4
01012N022500,4
01012N024000,4
01012N024500,4
01012N025500,4
01012N026000,4
01012N027000,4
01012N028000,4
01012N029500,4
01012N030000,4
01012N031000,4
01012N031500,4
01012N032000,4
01012N033000,4
01012N034000,4
01012N035000,4
01012N035500,4
01012N036500,4
01012N037500,4
01012N038500,4
01012N039000,4
01012N039500,4
01012N040000,4
01012N042000,4
01012N042500,4
01012N043000,4
01012N044000,4
01012N044500,4
01012N045500,4
01012N046100,4
01012N046500,4
01012N048500,4
01012N049000,4
01012N049500,4
01012N050000,4
01012N051000,4
01012N051500,4
01012N053500,4
01012N055800,4
01012N056000,4
01012N056200,4
01012N056400,4
01012N056700,4
01012N057000,4
01012N057500,4
01012N058000,4
01012N059000,4
01012N059500,4
01012N060000,4
01012N060500,4
01012N061500,4
01012N064000,4
01012N064500,4
01012N065500,4
01012N066000,4
01012N066500,4
01012N067000,4
01012N068000,4
01012N068500,4
01012N069000,4
01012N070000,4
01012N070500,4
01012N071000,4
01012N071500,4
01012N072000,4
01012N083000,4
01012N083500,4
01012N084500,4
01012N085000,4
01012N085500,4
01012N088000,4
01012N088500,4
01012N089000,4
01012N089500,4
01012N090000,4
01012N090500,4
01012N091000,4
01012N092500,4
01012N093000,4
01012N093500,4
01012N094500,4
01012N095500,4
01012N097000,4
01012N097500,4
01012N098500,4
01012N099500,4
01012N100000,4
01013N000500,4
01013N001000,4
01013N001500,4
01013N003500,4
01013N004000,4
01013N004500,4
01013N005000,4
01013N005500,4
01013N006500,4
01013N007000,4
01013N008000,4
01013N041500,4
01013N042000,4
01013N042500,4
01013N043000,4
01013N043500,4
01013N044500,4
01013N045000,4
01013N045500,4
01013N048000,4
01013N048500,4
01013N051000,4
01013N051500,4
01013N052000,4
01013N053500,4
01013N054000,4
01013N054500,4
01013N055000,4
01013N055500,4
01013N056000,4
01013N057000,4
01013N058000,4
01013N058500,4
01013N059000,4
01013N059500,4
01013N060000,4
01013N060500,4
01013N061000,4
01013N061500,4
01013N062500,4
01013N063000,4
01013N064500,4
01013N065000,4
01013N065500,4
01013N066000,4
01013N067000,4
01013N068000,4
01013N070000,4
01013N071000,4
01013N072000,4
01013N073000,4
01013N073500,4
01013N074000,4
01013N074500,4
01013N075000,4
01013N075500,4
01013N076500,4
01013N078500,4
01013N079600,5
01013N084500,4
01013N085000,4
01013N086000,4
01013N087000,4
01013N090000,4
01013N090500,4
01013N090800,5
01013N091000,5
01013N092500,4
01013N093500,4
01013N094000,4
01013N094500,4
01013N096000,4
01013N096500,4
01013N097500,4
01013N098500,4
01013N099000,4
01013N099500,4
01013N100000,4
01013N100500,4
01013N101000,4
01013N103000,4
01013N104000,4
01013N105000,4
01013N106000,4
01013N106500,4
01013N107500,4
01013N108000,4
01013N109600,4
01013N111000,4
01013N111500,4
01013N112000,4
01013N112500,4
01013N113500,4
01013N114000,4
01013N114500,4
01013N114800,5
01013N115500,4
01013N116500,4
01013N117000,4
01013N118000,4
01013N119000,4
01013N120000,4
01013N120500,4
01013N121000,4
01013N121500,4
01013N123500,4
01013N124500,4
01013N125500,4
01013N126000,4
01014N001500,4
01014N002500,4
01014N003500,4
01014N004000,4
01014N004500,4
01014N006000,4
01014N006500,4
01014N007000,4
01014N008000,4
01014N008500,4
01014N009500,4
01014N010000,4
01014N010500,4
01014N012000,4
01014N012500,4
01014N013000,4
01014N014000,4
01014N015000,4
01014N015500,4
01014N016500,4
01014N017000,4
01014N017700,4
01014N018500,4
01014N019000,4
01014N019500,4
01014N020000,4
01014N020500,4
01014N021000,4
01014N021500,4
01014N022500,4
01014N023500,4
01014N024000,4
01014N024500,4
01014N025500,4
01014N027000,4
01014N027500,4
01014N028000,4
01014N028500,4
01014N029000,4
01014N030000,4
01014N030500,4
01014N031000,4
01014N032000,4
01014N032500,4
01014N033500,4
01014N034500,4
01014N035500,4
01014N036500,4
01014N037500,4
01014N038500,4
01014N039500,4
01014N040500,4
01014N041000,4
01014N041500,4
01014N042000,4
01014N042500,4
01014N043000,4
01014N043500,4
01014N044500,4
01014N045000,4
01014N045500,4
01014N046000,4
01014N046500,4
01014N047000,4
01014N047500,4
01014N048000,4
01014N048500,4
01014N049000,4
01014N050000,4
01014N052000,4
01014N053000,4
01014N053500,4
01014N054000,4
01014N054500,4
01014N055000,4
01014N055500,4
01014N056000,4
01014N057000,4
01014N057500,4
01014N058000,4
01014N058500,4
01014N060000,4
01014N060500,4
01014N061000,4
01014N062000,4
01014N062500,4
01014N063000,4
01014N063500,4
01014N064000,4
01014N065000,4
01014N065500,4
01014N066000,4
01014N066500,4
01014N067000,4
01014N067500,4
01014N068000,4
01014N068500,4
01014N069000,4
01014N071000,4
01014N070500,4
01014N071500,4
01014N072000,4
01014N072200,4
01014N072500,4
01014N073000,4
01014N073500,4
01014N074000,4
01014N074500,4
01014N075000,4
01014N075500,4
01014N076000,4
01014N076500,4
01014N077000,4
01014N077500,4
01014N078000,4
01014N079000,4
01014N080000,4
01014N080500,4
01014N081000,4
01014N082000,4
01014N082500,4
01014N083000,4
01014N083500,4
01014N084000,4
01014N084500,4
01014N085000,4
01014N085500,4
01014N087000,4
01014N087500,4
01014N088500,4
01014N089000,4
01014N089500,4
01015N000500,4
01015N001000,4
01015N001500,4
01015N002000,4
01015N002500,4
01015N003000,4
01015N004000,4
01015N004500,4
01015N005000,4
01015N005500,4
01015N007000,4
01015N007500,4
01015N008000,4
01015N009000,4
01015N009500,4
01015N010500,4
01015N011000,4
01015N011500,4
01015N012000,4
01015N012200,4
01015N012500,4
01015N013000,4
01015N013500,4
01015N013700,4
01015N013900,4
01015N014000,4
01015N014500,4
01015N015000,4
01015N015300,4
01015N015500,4
01015N016000,4
01015N016500,4
01015N017000,4
01015N017500,4
01015N018000,4
01015N018500,4
01015N020000,4
01015N020500,4
01015N021000,4
01015N021500,4
01015N022000,4
01015N022500,4
01015N023000,4
01015N023500,4
01015N024000,4
01015N024500,4
01015N026000,4
01015N026500,4
01015N027000,4
01015N027500,4
01015N029000,4
01015N029500,4
01015N030000,4
01015N030500,4
01015N031000,4
01015N031500,4
01015N032000,4
01015N032500,4
01015N033000,4
01015N033500,4
01015N034000,4
01015N034500,4
01015N035000,4
01015N035500,4
01015N036000,4
01015N037000,4
01015N037500,4
01015N038500,4
01015N039000,4
01015N042000,4
01015N042500,4
01015N043000,4
01015N043500,4
01015N044000,4
01015N045000,4
01015N045500,4
01015N046000,4
01015N046500,4
01015N047000,4
01015N047500,4
01015N048000,4
01015N048500,4
01015N049000,4
01015N049500,4
01015N050000,4
01015N050500,4
01015N052000,4
01015N052500,4
01015N053000,4
01015N053500,4
01015N054000,4
01015N054500,4
01015N055000,4
01015N055500,4
01015N056000,4
01015N057000,4
01015N057500,4
01015N058000,4
01015N058500,4
01015N059000,4
01015N060500,4
01015N061000,4
01015N062500,4
01015N064000,4
01015N065000,4
01015N065500,4
01015N066000,4
01015N066100,4
01015N066200,4
01015N066300,4
01015N066400,4
01015N066500,4
01015N066600,4
01015N066700,4
01015N066800,4
01015N066900,4
01015N067000,4
01015N067100,4
01015N067200,4
01015N067300,4
01015N067400,4
01015N067600,4
01015N067700,5
01015N067800,4
01015N067900,4
01015N068000,4
01015N068100,4
01015N068200,4
01015N068300,4
01015N068500,4
01015N068600,4
01015N069000,4
01015N070000,4
01015N070500,4
01015N071000,4
01015N072000,4
01015N072500,4
01015N073000,4
01015N073500,4
01015N074000,4
01015N074500,4
01015N075500,4
01015N076000,4
01015N076500,4
01015N077000,4
01015N077500,4
01015N078000,4
01015N078500,4
01015N079000,4
01015N079500,4
01015N080000,4
01015N080500,4
01015N081000,4
01015N081500,4
01016N000500,4
01016N001000,4
01016N001500,4
01016N002000,4
01016N002500,4
01016N003000,4
01016N004000,4
01016N006000,4
01016N007000,4
01016N007500,4
01016N008000,4
01016N008500,4
01016N010000,4
01016N011000,4
01016N011500,4
01016N012000,4
01016N012500,4
01016N013000,4
01016N013500,4
01016N014000,4
01016N014500,4
01016N016000,4
01016N016500,4
01016N017000,4
01016N017500,4
01016N018000,4
01016N018500,4
01016N019000,4
01016N019500,4
01016N020000,4
01016N020500,4
01016N021000,4
01016N021500,4
01016N022000,4
01016N023000,4
01016N030000,4
01016N030500,4
01016N031000,4
01016N031500,4
01016N032000,4
01016N032500,4
01016N033000,4
01016N033500,4
01016N034000,4
01016N034500,4
01016N035000,4
01016N035500,4
01016N036000,4
01016N038000,4
01016N038500,4
01016N039000,4
01016N039500,4
01016N040000,4
01016N041000,4
01016N042000,4
01016N042500,4
01016N044000,4
01016N044500,4
01016N045500,4
01016N046000,4
01016N047000,4
01016N049000,4
01016N050000,4
01016N050500,4
01016N051000,4
01016N051500,4
01016N052000,4
01016N052500,4
01016N053000,4
01016N053500,4
01016N054000,4
01016N054500,4
01016N055000,4
01016N055500,4
01016N056500,4
01016N057000,4
01016N057500,4
01016N058000,4
01016N058500,4
01016N059000,4
01016N059500,4
01016N060000,4
01016N060700,4
01016N061000,4
01016N062000,4
01016N062500,4
01016N063000,4
01016N063500,4
01016N064000,4
01016N066000,4
01016N066500,4
01016N067000,4
01016N068000,4
01016N068500,4
01016N070000,4
01016N070500,4
01016N071500,4
01016N072000,4
01016N072500,4
01016N073000,4
01016N073500,4
01016N074500,4
01016N075000,4
01016N075500,4
01016N076000,4
01016N076500,4
01016N077000,4
01016N077500,4
01016N078000,4
01016N079000,4
01016N079500,4
01016N080000,4
01016N080500,4
01016N081000,4
01016N081500,4
01016N082000,4
01016N082300,4
01016N082500,4
01016N083500,4
01016N084000,4
01016N084500,4
01016N091000,4
01016N091500,4
01016N092000,4
01016N092500,4
01016N093000,4
01016N094000,4
01016N094500,4
01016N095000,4
01016N095500,4
01016N096000,4
01016N096500,4
01016N097000,4
01016N097300,4
01016N097500,4
01016N098500,4
01016N099500,4
01016N100000,4
01016N100500,4
01016N101000,4
01017N000500,4
01017N001000,4
01017N002000,4
01017N002500,4
01017N003000,4
01017N003500,4
01017N004500,4
01017N005000,4
